naselje;grad_opcina;zupanija;stanovnistvo
Lončarica;Grubišno Polje;Bjelovarsko-bilogorska županija;62
Lopar;Lopar;Primorsko-goranska županija;1107
Lopatinec;Sveti Juraj na Bregu;Međimurska županija;906
Lopača;Jelenje;Primorsko-goranska županija;78
Lopud;Dubrovnik;Dubrovačko-neretvanska županija;278
Loskunja;Vojnić;Karlovačka županija;39
Lotine;Dvor;Sisačko-moslavačka županija;13
Lovas;Lovas;Vukovarsko-srijemska županija;728
Lovinac;Lovinac;Ličko-senjska županija;242
Lovinac;Poličnik;Zadarska županija;290
Lović Prekriški;Ozalj;Karlovačka županija;47
Lovište;Orebić;Dubrovačko-neretvanska županija;187
Lovorje;Slivno;Dubrovačko-neretvanska županija;58
Lovorno;Konavle;Dubrovačko-neretvanska županija;188
Lovran;Lovran;Primorsko-goranska županija;2859
Lovranska Draga;Lovran;Primorsko-goranska županija;50
Lovrentovec;Varaždinske Toplice;Varaždinska županija;87
Lovreć;Lovreć;Splitsko-dalmatinska županija;488
Lovreća Sela;Krapinske Toplice;Krapinsko-zagorska županija;194
Lovrečan;Ivanec;Varaždinska županija;439
Lovrečan;Zlatar Bistrica;Krapinsko-zagorska županija;362
Lovrečica – San Lorenzo;Umag – Umago;Istarska županija;123
Lovrečka Varoš;Vrbovec;Zagrebačka županija;143
Lovrečka Velika;Vrbovec;Zagrebačka županija;186
Lovrin;Pazin;Istarska županija;328
Lovska;Novska;Sisačko-moslavačka županija;10
Lovča;Donji Kukuruzari;Sisačko-moslavačka županija;10
Lovčić;Brodski Stupnik;Brodsko-posavska županija;31
Lozan;Špišić Bukovica;Virovitičko-podravska županija;340
Lozari – Lozari;Buje – Buie;Istarska županija;27
Lozica;Dubrovnik;Dubrovačko-neretvanska županija;142
Loznati;Cres;Primorsko-goranska županija;36
Lozovac;Šibenik;Šibensko-kninska županija;318
Ložišća;Milna;Splitsko-dalmatinska županija;92
Ložnice;Primošten;Šibensko-kninska županija;41
Ložnice;Rogoznica;Šibensko-kninska županija;19
Lubarska;Jelenje;Primorsko-goranska županija;93
Lubena;Gradec;Zagrebačka županija;116
Lubenice;Cres;Primorsko-goranska županija;6
Ludbreg;Ludbreg;Varaždinska županija;3463
Ludbreški Ivanac;Rasinja;Koprivničko-križevačka županija;53
Ludinica;Velika Ludina;Sisačko-moslavačka županija;10
Ludvinci;Trpinja;Vukovarsko-srijemska županija;79
Lug;Bilje;Osječko-baranjska županija;602
Lug Gradinski;Gradina;Virovitičko-podravska županija;54
Lug Orehovički;Bedekovčina;Krapinsko-zagorska županija;214
Lug Poznanovečki;Bedekovčina;Krapinsko-zagorska županija;594
Lug Samoborski;Samobor;Zagrebačka županija;937
Lug Subotički;Koška;Osječko-baranjska županija;234
Lug Zabočki;Zabok;Krapinsko-zagorska županija;580
Lugarski Breg;Dubravica;Zagrebačka županija;66
Luka;Luka;Zagrebačka županija;420
Luka;Sali;Zadarska županija;124
Luka;Ston;Dubrovačko-neretvanska županija;151
Luka;Vrbovec;Zagrebačka županija;737
Luka Krmpotska;Novi Vinodolski;Primorsko-goranska županija;0
Luka Ludbreška;Sveti Đurđ;Varaždinska županija;207
Luka Pokupska;Karlovac;Karlovačka županija;328
Lukar;Promina;Šibensko-kninska županija;59
Lukarišće;Dugo Selo;Zagrebačka županija;1007
Lukavac;Slatina;Virovitičko-podravska županija;80
Lukavec;Ivanec;Varaždinska županija;134
Lukavec;Velika Gorica;Zagrebačka županija;1260
Lukavec Klanječki;Kraljevec na Sutli;Krapinsko-zagorska županija;65
Lukavec Posavski;Sisak;Sisačko-moslavačka županija;103
Lukavec Sutlanski;Dubravica;Zagrebačka županija;101
Lukač;Kutjevo;Požeško-slavonska županija;115
Lukač;Lukač;Virovitičko-podravska županija;357
Lukačevec;Gornja Rijeka;Koprivničko-križevačka županija;13
Lukačevec Toplički;Varaždinske Toplice;Varaždinska županija;37
Luke;Cetingrad;Karlovačka županija;4
Luke Poljanske;Zagorska Sela;Krapinsko-zagorska županija;54
Lukeži;Jelenje;Primorsko-goranska županija;148
Lukinić Brdo;Pokupsko;Zagrebačka županija;287
Lukoran;Preko;Zadarska županija;478
Lukovdol;Vrbovsko;Primorsko-goranska županija;104
Lukovec;Rasinja;Koprivničko-križevačka županija;32
Lukovo;Senj;Ličko-senjska županija;26
Lukovo;Vrbovec;Zagrebačka županija;149
Lukovo Šugarje;Karlobag;Ličko-senjska županija;100
Lukovčak;Đurmanec;Krapinsko-zagorska županija;206
Lukunić Draga;Ozalj;Karlovačka županija;20
Lukšići Ozaljski;Ozalj;Karlovačka županija;46
Lumbarda;Lumbarda;Dubrovačko-neretvanska županija;1209
Lumbardenik;Slunj;Karlovačka županija;132
Lun;Novalja;Ličko-senjska županija;148
Lunjkovec;Mali Bukovec;Varaždinska županija;173
Lupinjak;Hum na Sutli;Krapinsko-zagorska županija;343
Lupoglav;Brckovljani;Zagrebačka županija;948
Lupoglav;Lupoglav;Istarska županija;298
Luč;Petlovac;Osječko-baranjska županija;322
Lučane;Sinj;Splitsko-dalmatinska županija;601
Lučelnica;Pisarovina;Zagrebačka županija;283
Lučelnica Tomaševečka;Klanjec;Krapinsko-zagorska županija;182
Lučica;Barilović;Karlovačka županija;32
Lučice;Delnice;Primorsko-goranska županija;298
Lučina;Slivno;Dubrovačko-neretvanska županija;10
Lučinci;Velika;Požeško-slavonska županija;42
Lučko;;Grad Zagreb;2987
Luščani;Petrinja;Sisačko-moslavačka županija;87
Lužan;;Grad Zagreb;708
Lužan Biškupečki;Gornji Kneginec;Varaždinska županija;356
Lužani;Oriovac;Brodsko-posavska županija;850
Lužani Zagorski;Jesenje;Krapinsko-zagorska županija;91
Lužnica;Zaprešić;Zagrebačka županija;27
Macinec;Nedelišće;Međimurska županija;484
Macute;Voćin;Virovitičko-podravska županija;19
Madaraševec;Martijanec;Varaždinska županija;173
Madžarevo;Novi Marof;Varaždinska županija;880
Madžari;Sisak;Sisačko-moslavačka županija;199
Magadenovac;Magadenovac;Osječko-baranjska županija;96
Magadinovac;Orahovica;Virovitičko-podravska županija;9
Magić Mala;Nova Kapela;Brodsko-posavska županija;327
Maglenča;Veliko Trojstvo;Bjelovarsko-bilogorska županija;280
Mahićno;Karlovac;Karlovačka županija;456
Mahovo;Martinska Ves;Sisačko-moslavačka županija;233
Maja;Glina;Sisačko-moslavačka županija;142
Majar;Levanjska Varoš;Osječko-baranjska županija;98
Majdan;Dvor;Sisačko-moslavačka županija;5
Majer;Vrbovsko;Primorsko-goranska županija;9
Majerje;Petrijanec;Varaždinska županija;687
Majkovec;Sveti Ivan Zelina;Zagrebačka županija;190
Majkovi;Dubrovačko primorje;Dubrovačko-neretvanska županija;122
Majkusi;Višnjan – Visignano;Istarska županija;18
Majske Poljane;Glina;Sisačko-moslavačka županija;143
Majski Trtnik;Glina;Sisačko-moslavačka županija;18
Majur;Farkaševac;Zagrebačka županija;97
Majur;Majur;Sisačko-moslavačka županija;272
Majurec;Križevci;Koprivničko-križevačka županija;385
Majške Međe;Jagodnjak;Osječko-baranjska županija;59
Makarska;Makarska;Splitsko-dalmatinska županija;12809
Maklen;Brod Moravice;Primorsko-goranska županija;1
Makloševac;Našice;Osječko-baranjska županija;114
Makov Hrib;Čabar;Primorsko-goranska županija;89
Makovci – Macovzi;Grožnjan – Grisignana;Istarska županija;92
Makoše;Župa dubrovačka;Dubrovačko-neretvanska županija;166
Mala Babina Gora;Đulovac;Bjelovarsko-bilogorska županija;21
Mala Barna;Grubišno Polje;Bjelovarsko-bilogorska županija;28
Mala Branjska;Sokolovac;Koprivničko-križevačka županija;51
Mala Bršljanica;Garešnica;Bjelovarsko-bilogorska županija;31
Mala Buna;Velika Gorica;Zagrebačka županija;248
Mala Ciglena;Bjelovar;Bjelovarsko-bilogorska županija;10
Mala Crkvina;Krnjak;Karlovačka županija;22
Mala Dapčevica;Grubišno Polje;Bjelovarsko-bilogorska županija;5
Mala Dobra;Skrad;Primorsko-goranska županija;0
Mala Erpenja;Krapinske Toplice;Krapinsko-zagorska županija;526
Mala Gora;Pregrada;Krapinsko-zagorska županija;137
Mala Gorica;Petrinja;Sisačko-moslavačka županija;296
Mala Gorica;Sveta Nedelja;Zagrebačka županija;612
Mala Gradusa;Sunja;Sisačko-moslavačka županija;5
Mala Hrastilnica;Križ;Zagrebačka županija;89
Mala Jasenovača;Grubišno Polje;Bjelovarsko-bilogorska županija;2
Mala Jazbina;Samobor;Zagrebačka županija;489
Mala Klisa;Đulovac;Bjelovarsko-bilogorska županija;0
Mala Kopanica;Velika Kopanica;Brodsko-posavska županija;130
Mala Kosa;Barilović;Karlovačka županija;1
Mala Kosnica;Velika Gorica;Zagrebačka županija;44
Mala Lešnica;Delnice;Primorsko-goranska županija;7
Mala Ludina;Velika Ludina;Sisačko-moslavačka županija;128
Mala Milešina;Muć;Splitsko-dalmatinska županija;12
Mala Mlaka;;Grad Zagreb;591
Mala Mlinska;Velika Trnovitica;Bjelovarsko-bilogorska županija;66
Mala Mučna;Sokolovac;Koprivničko-križevačka županija;62
Mala Ostrna;Dugo Selo;Zagrebačka županija;238
Mala Paka;Žakanje;Karlovačka županija;29
Mala Paukova;Sunja;Sisačko-moslavačka županija;21
Mala Pačetina;Petrovsko;Krapinsko-zagorska županija;79
Mala Peratovica;Grubišno Polje;Bjelovarsko-bilogorska županija;48
Mala Pisanica;Veliki Grđevac;Bjelovarsko-bilogorska županija;142
Mala Plana;Gospić;Ličko-senjska županija;34
Mala Rakovica;Samobor;Zagrebačka županija;604
Mala Rasinjica;Rasinja;Koprivničko-križevačka županija;19
Mala Rijeka;Rasinja;Koprivničko-križevačka županija;25
Mala Solina;Glina;Sisačko-moslavačka županija;9
Mala Subotica;Mala Subotica;Međimurska županija;1766
Mala Trapinska;Suhopolje;Virovitičko-podravska županija;51
Mala Trnovitica;Velika Trnovitica;Bjelovarsko-bilogorska županija;48
Mala Učka;Mošćenička Draga;Primorsko-goranska županija;2
Mala Učka;Opatija;Primorsko-goranska županija;1
Mala Vranovina;Topusko;Sisačko-moslavačka županija;0
Mala Črešnjevica;Pitomača;Virovitičko-podravska županija;155
Male Drage;Brod Moravice;Primorsko-goranska županija;5
Male Mune;Matulji;Primorsko-goranska županija;101
Male Sesvete;Križevci;Koprivničko-križevačka županija;35
Male Srakane;Mali Lošinj;Primorsko-goranska županija;2
Maletići;Netretić;Karlovačka županija;129
Malešević Selo;Vojnić;Karlovačka županija;29
Mali Banovac;Pakrac;Požeško-slavonska županija;17
Mali Bastaji;Đulovac;Bjelovarsko-bilogorska županija;111
Mali Bilač;Pleternica;Požeško-slavonska županija;15
Mali Botinovac;Sokolovac;Koprivničko-križevačka županija;9
Mali Brezovec;Gradec;Zagrebačka županija;54
Mali Brgud;Matulji;Primorsko-goranska županija;130
Mali Budići;Pakrac;Požeško-slavonska županija;6
Mali Bukovec;Mali Bukovec;Varaždinska županija;616
Mali Bukovec;Mače;Krapinsko-zagorska županija;221
Mali Carevdar;Križevci;Koprivničko-križevačka županija;15
Mali Dol;Kraljevica;Primorsko-goranska županija;161
Mali Erjavec;Ozalj;Karlovačka županija;129
Mali Golji;Sveta Nedelja;Istarska županija;102
Mali Gorenec;Bednja;Varaždinska županija;90
Mali Grabičani;Sokolovac;Koprivničko-križevačka županija;125
Mali Gradac;Glina;Sisačko-moslavačka županija;73
Mali Grđevac;Veliki Grđevac;Bjelovarsko-bilogorska županija;0
Mali Iž;Zadar;Zadarska županija;193
Mali Jadrč;Vrbovsko;Primorsko-goranska županija;28
Mali Komor;Mače;Krapinsko-zagorska županija;79
Mali Kozinac;Barilović;Karlovačka županija;23
Mali Lipovec;Samobor;Zagrebačka županija;111
Mali Lovrečan;Cestica;Varaždinska županija;39
Mali Lošinj;Mali Lošinj;Primorsko-goranska županija;5561
Mali Lug;Čabar;Primorsko-goranska županija;62
Mali Mihaljevec;Sveti Juraj na Bregu;Međimurska županija;433
Mali Miletinac;Đulovac;Bjelovarsko-bilogorska županija;14
Mali Mlun;Buzet;Istarska županija;67
Mali Modruš Potok;Netretić;Karlovačka županija;34
Mali Obljaj;Glina;Sisačko-moslavačka županija;12
Mali Otok;Legrad;Koprivničko-križevačka županija;115
Mali Pašijan;Garešnica;Bjelovarsko-bilogorska županija;179
Mali Podol;Cres;Primorsko-goranska županija;3
Mali Poganac;Sokolovac;Koprivničko-križevačka županija;131
Mali Potočec;Križevci;Koprivničko-križevačka županija;159
Mali Prolog;Pojezerje;Dubrovačko-neretvanska županija;10
Mali Rastovac;Crnac;Virovitičko-podravska županija;35
Mali Raven;Križevci;Koprivničko-križevačka županija;23
Mali Ston;Ston;Dubrovačko-neretvanska županija;125
Mali Tabor;Hum na Sutli;Krapinsko-zagorska županija;311
Mali Turini;Sveta Nedelja;Istarska županija;37
Mali Vareški;Marčana;Istarska županija;81
Mali Vrh Kamanjski;Kamanje;Karlovačka županija;67
Mali Vuković;Slunj;Karlovačka županija;74
Mali Zdenci;Grubišno Polje;Bjelovarsko-bilogorska županija;352
Malik;Bosiljevo;Karlovačka županija;18
Malinci;Ozalj;Karlovačka županija;0
Malino;Oriovac;Brodsko-posavska županija;410
Malinovac;Magadenovac;Osječko-baranjska županija;91
Malinska;Malinska-Dubašnica;Primorsko-goranska županija;816
Malička;Topusko;Sisačko-moslavačka županija;18
Mališi;Višnjan – Visignano;Istarska županija;11
Maljevac;Cetingrad;Karlovačka županija;83
Maljevačko Selište;Cetingrad;Karlovačka županija;22
Maljkovo;Hrvace;Splitsko-dalmatinska županija;61
Malo Grablje;Hvar;Splitsko-dalmatinska županija;3
Malo Gradišće;Cestica;Varaždinska županija;112
Malo Korenovo;Bjelovar;Bjelovarsko-bilogorska županija;190
Malo Krčevo;Majur;Sisačko-moslavačka županija;7
Malo Polje;Perušić;Ličko-senjska županija;53
Malo Selce;Skrad;Primorsko-goranska županija;11
Malo Selo;Delnice;Primorsko-goranska županija;40
Malo Trojstvo;Veliko Trojstvo;Bjelovarsko-bilogorska županija;138
Malo Vukovje;Garešnica;Bjelovarsko-bilogorska županija;94
Malunje;Jastrebarsko;Zagrebačka županija;161
Mandalenčići;Gračišće;Istarska županija;285
Mandaljena;Župa dubrovačka;Dubrovačko-neretvanska županija;361
Mandić Selo;Vojnić;Karlovačka županija;35
Mandićevac;Drenje;Osječko-baranjska županija;236
Mandli;Čabar;Primorsko-goranska županija;33
Mandre;Kolan;Zadarska županija;467
Manja Vas;Samobor;Zagrebačka županija;76
Manjadvorci;Barban;Istarska županija;165
Manjerovići;Karlovac;Karlovačka županija;8
Maovice;Vrlika;Splitsko-dalmatinska županija;250
Maranovići;Mljet;Dubrovačko-neretvanska županija;29
Marasi;Vrsar – Orsera;Istarska županija;75
Marceljani;Labin;Istarska županija;191
Mareda – Mareda;Novigrad – Cittanova;Istarska županija;138
Marenić;Vrbovec;Zagrebačka županija;57
Maretić;Hrašćina;Krapinsko-zagorska županija;121
Maretići;Višnjan – Visignano;Istarska županija;0
Margečan;Ivanec;Varaždinska županija;390
Marigutić;Budinščina;Krapinsko-zagorska županija;20
Marija Bistrica;Marija Bistrica;Krapinsko-zagorska županija;1045
Marija Gorica;Marija Gorica;Zagrebačka županija;228
Marija Magdalena;Pušća;Zagrebačka županija;220
Marija Trošt;Delnice;Primorsko-goranska županija;38
Marijanci;Marijanci;Osječko-baranjska županija;680
Marina;Marina;Splitsko-dalmatinska županija;1015
Marinbrod;Glina;Sisačko-moslavačka županija;71
Marinci;Buzet;Istarska županija;69
Marinci;Nuštar;Vukovarsko-srijemska županija;437
Marinci;Pregrada;Krapinsko-zagorska županija;100
Marindolsko Brdo;Slunj;Karlovačka županija;49
Marindvor;Požega;Požeško-slavonska županija;118
Marinići;Viškovo;Primorsko-goranska županija;3862
Marinje Zemlje;Vis;Splitsko-dalmatinska županija;52
Marino Selo;Lipik;Požeško-slavonska županija;263
Marinovec;Križevci;Koprivničko-križevačka županija;82
Marinovec Zelinski;Sveti Ivan Zelina;Zagrebačka županija;61
Marići;Kanfanar;Istarska županija;127
Marići;Sveta Nedelja;Istarska županija;75
Marjanski Ivanovci;Marijanci;Osječko-baranjska županija;1
Marjančaci;Valpovo;Osječko-baranjska županija;257
Markoci;Sveta Nedelja;Istarska županija;69
Markovac;Biskupija;Šibensko-kninska županija;44
Markovac;Daruvar;Bjelovarsko-bilogorska županija;71
Markovac;Velika;Požeško-slavonska županija;2
Markovac;Višnjan – Visignano;Istarska županija;155
Markovac Križevački;Sveti Ivan Žabno;Koprivničko-križevačka županija;127
Markovac Našički;Našice;Osječko-baranjska županija;1396
Marković Selo;Ogulin;Karlovačka županija;60
Markovići;Vižinada – Visinada;Istarska županija;50
Markovo;Slatina;Virovitičko-podravska županija;114
Markovo Polje;;Grad Zagreb;447
Markušbrijeg;Lobor;Krapinsko-zagorska županija;387
Markuševec Turopoljski;Velika Gorica;Zagrebačka županija;378
Markušica;Markušica;Vukovarsko-srijemska županija;733
Markušići;Žumberak;Zagrebačka županija;2
Marlovac;Barilović;Karlovačka županija;5
Marof;Sveti Martin na Muri;Međimurska županija;88
Martijanec;Martijanec;Varaždinska županija;347
Martin;Našice;Osječko-baranjska županija;945
Martina;Mošćenička Draga;Primorsko-goranska županija;41
Martinac;Veliko Trojstvo;Bjelovarsko-bilogorska županija;127
Martinac;Čazma;Bjelovarsko-bilogorska županija;53
Martinci Miholjački;Podravska Moslavina;Osječko-baranjska županija;23
Martinec Orehovički;Bedekovčina;Krapinsko-zagorska županija;360
Martinić;Mali Bukovec;Varaždinska županija;123
Martinišće;Zabok;Krapinsko-zagorska županija;279
Martinkovec;Varaždinske Toplice;Varaždinska županija;70
Martinovići;Glina;Sisačko-moslavačka županija;43
Martinovići;Župa dubrovačka;Dubrovačko-neretvanska županija;111
Martinovo Selo;Jelenje;Primorsko-goranska županija;112
Martinska Ves;Martinska Ves;Sisačko-moslavačka županija;540
Martinska Ves;Vrbovec;Zagrebačka županija;451
Martinski Vrh;Ribnik;Karlovačka županija;14
Martinuševec;Gornji Mihaljevec;Međimurska županija;110
Martinčići – Martincici;Grožnjan – Grisignana;Istarska županija;111
Martinšćica;Cres;Primorsko-goranska županija;103
Martinšćina;Zlatar;Krapinsko-zagorska županija;340
Martiša Ves;Pregrada;Krapinsko-zagorska županija;11
Maruševec;Maruševec;Varaždinska županija;391
Marušići;Omiš;Splitsko-dalmatinska županija;141
Marušići – Marussici;Buje – Buie;Istarska županija;147
Maružini;Kanfanar;Istarska županija;83
Marčan;Vinica;Varaždinska županija;510
Marčana;Marčana;Istarska županija;1099
Marčani;Čazma;Bjelovarsko-bilogorska županija;89
Marčelji;Viškovo;Primorsko-goranska županija;2535
Marčenegla;Buzet;Istarska županija;94
Maršići;Malinska-Dubašnica;Primorsko-goranska županija;17
Maslenica;Jasenice;Zadarska županija;800
Maslenjača;Đulovac;Bjelovarsko-bilogorska županija;138
Maslinica;Šolta;Splitsko-dalmatinska županija;242
Mastelići;Vižinada – Visinada;Istarska županija;0
Mastrinka;Trogir;Splitsko-dalmatinska županija;837
Matase;Promina;Šibensko-kninska županija;38
Matenci;Donja Stubica;Krapinsko-zagorska županija;467
Materada – Matterada;Umag – Umago;Istarska županija;153
Mateše;Bosiljevo;Karlovačka županija;55
Mateško Selo;Generalski Stol;Karlovačka županija;22
Matijaši;Žminj;Istarska županija;47
Matijevići;Dvor;Sisačko-moslavačka županija;352
Matijevići;Kula Norinska;Dubrovačko-neretvanska županija;90
Matići;Vrbovsko;Primorsko-goranska županija;10
Matković Mala;Podcrkavlje;Brodsko-posavska županija;15
Matohanci;Kanfanar;Istarska županija;68
Matulini – Mattulini;Poreč – Parenzo;Istarska županija;26
Matulji;Matulji;Primorsko-goranska županija;3566
Maturovec;Krapinske Toplice;Krapinsko-zagorska županija;76
Maurovići;Barilović;Karlovačka županija;4
Mavrinci;Čavle;Primorsko-goranska županija;1035
Mazin;Gračac;Zadarska županija;27
Mače;Mače;Krapinsko-zagorska županija;675
Mački;Farkaševac;Zagrebačka županija;64
Mačkovac;Voćin;Virovitičko-podravska županija;31
Mačkovac;Vrbje;Brodsko-posavska županija;205
Mačkovec;Čakovec;Međimurska županija;1222
Mačkovo Selo;Petrinja;Sisačko-moslavačka županija;18
Mašić;Dragalić;Brodsko-posavska županija;237
Mašvina;Rakovica;Karlovačka županija;4
Mece;Darda;Osječko-baranjska županija;763
Medak;Gospić;Ličko-senjska županija;36
Medaki;Sveti Lovreč;Istarska županija;28
Medari;Dragalić;Brodsko-posavska županija;131
Medinci;Slatina;Virovitičko-podravska županija;154
Medovdolac;Lovreć;Splitsko-dalmatinska županija;92
Medsave;Samobor;Zagrebačka županija;206
Medulin;Medulin;Istarska županija;2830
Medveja;Lovran;Primorsko-goranska županija;139
Medveje;Buzet;Istarska županija;27
Medven Draga;Krašić;Zagrebačka županija;23
Medvidići;Sveti Lovreč;Istarska županija;34
Medvidovića Draga;Imotski;Splitsko-dalmatinska županija;326
Medviđa;Benkovac;Zadarska županija;107
Mekinjar;Udbina;Ličko-senjska županija;15
Mekiši kod Kaštelira;Kaštelir-Labinci – Castelliere-S. Domenica;Istarska županija;9
Mekiši kod Vižinade;Vižinada – Visinada;Istarska županija;37
Melinovac;Donji Lapac;Ličko-senjska županija;0
Meljan;Bednja;Varaždinska županija;101
Melnica;Barban;Istarska županija;175
Melnice;Senj;Ličko-senjska županija;41
Merag;Cres;Primorsko-goranska županija;22
Merenje;Zaprešić;Zagrebačka županija;117
Merhatovec;Selnica;Međimurska županija;122
Merišće – Merischie;Buje – Buie;Istarska županija;47
Merolino Sikirevačko;Strizivojna;Osječko-baranjska županija;0
Metajna;Novalja;Ličko-senjska županija;253
Metković;Metković;Dubrovačko-neretvanska županija;13971
Metohija;Ston;Dubrovačko-neretvanska županija;134
Mezinovac;Perušić;Ličko-senjska županija;23
Mečenčani;Donji Kukuruzari;Sisačko-moslavačka županija;103
Međa;Sveti Petar Orehovec;Koprivničko-križevačka županija;143
Međare;Skradin;Šibensko-kninska županija;5
Međedi;Vrbovsko;Primorsko-goranska županija;0
Međeđak;Plaški;Karlovačka županija;67
Međeđak Utinjski;Vojnić;Karlovačka županija;43
Međurača;Nova Rača;Bjelovarsko-bilogorska županija;275
Međurače;Petrinja;Sisačko-moslavačka županija;21
Međurić;Kutina;Sisačko-moslavačka županija;427
Migalovci;Čaglin;Požeško-slavonska županija;92
Mihajlije;Brestovac;Požeško-slavonska županija;0
Mihalić Selo;Duga Resa;Karlovačka županija;68
Mihalj;Slivno;Dubrovačko-neretvanska županija;121
Mihaljekov Jarek;Krapina;Krapinsko-zagorska županija;444
Mihaljevac;Plitvička Jezera;Ličko-senjska županija;22
Mihaljevci;Požega;Požeško-slavonska županija;628
Mihaljevići;Pleternica;Požeško-slavonska županija;0
Mihanići;Konavle;Dubrovačko-neretvanska županija;109
Mihanovićev Dol;Klanjec;Krapinsko-zagorska županija;265
Mihatovići;Poreč – Parenzo;Istarska županija;161
Mihelići;Poreč – Parenzo;Istarska županija;57
Miholašćica;Cres;Primorsko-goranska županija;31
Miholec;Sveti Petar Orehovec;Koprivničko-križevačka županija;322
Miholjanec;Virje;Koprivničko-križevačka županija;244
Miholjački Poreč;Donji Miholjac;Osječko-baranjska županija;148
Miholjsko;Vojnić;Karlovačka županija;87
Mihotići;Matulji;Primorsko-goranska županija;862
Mihovljan;Mihovljan;Krapinsko-zagorska županija;956
Mihovljan;Čakovec;Međimurska županija;1391
Mijaca;Vrgorac;Splitsko-dalmatinska županija;30
Mijači;Brestovac;Požeško-slavonska županija;10
Miklavec;Podturen;Međimurska županija;391
Mikleuš;Mikleuš;Virovitičko-podravska županija;646
Mikleuška;Kutina;Sisačko-moslavačka županija;85
Mikluševci;Tompojevci;Vukovarsko-srijemska županija;265
Mikovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;61
Mikulići;Konavle;Dubrovačko-neretvanska županija;66
Miladini;Jastrebarsko;Zagrebačka županija;50
Milanezi;Višnjan – Visignano;Istarska županija;18
Milani;Bosiljevo;Karlovačka županija;15
Milanlug;Čaglin;Požeško-slavonska županija;209
Milanovac;Crnac;Virovitičko-podravska županija;30
Milanovac;Velika;Požeško-slavonska županija;35
Milanovac;Virovitica;Virovitičko-podravska županija;1515
Milaševac;Čazma;Bjelovarsko-bilogorska županija;142
Milaši;Jelenje;Primorsko-goranska županija;76
Milekovo Selo;Donja Stubica;Krapinsko-zagorska županija;116
Milinac;Levanjska Varoš;Osječko-baranjska županija;25
Milivojevci;Velika;Požeško-slavonska županija;12
Miličani;Sokolovac;Koprivničko-križevačka županija;112
Miljana;Zagorska Sela;Krapinsko-zagorska županija;82
Miljanovac;Sirač;Bjelovarsko-bilogorska županija;103
Miljevac;Slunj;Karlovačka županija;10
Miljevci;Nova Bukovica;Virovitičko-podravska županija;223
Milna;Hvar;Splitsko-dalmatinska županija;77
Milna;Milna;Splitsko-dalmatinska županija;775
Milna;Vis;Splitsko-dalmatinska županija;39
Milohnići;Krk;Primorsko-goranska županija;102
Milotski Breg;Gračišće;Istarska županija;89
Milovčići;Malinska-Dubašnica;Primorsko-goranska županija;166
Miloševac;Barilović;Karlovačka županija;2
Milčetići;Malinska-Dubašnica;Primorsko-goranska županija;251
Mimice;Omiš;Splitsko-dalmatinska županija;241
Miočinovići;Petrinja;Sisačko-moslavačka županija;26
Miočić;Drniš;Šibensko-kninska županija;44
Miranje;Benkovac;Zadarska županija;236
Mirca;Supetar;Splitsko-dalmatinska županija;401
Mirkopolje;Krašić;Zagrebačka županija;82
Mirkovac;Kneževi Vinogradi;Osječko-baranjska županija;64
Mirkovci;Vinkovci;Vukovarsko-srijemska županija;2731
Mirkovec;Sveti Križ Začretje;Krapinsko-zagorska županija;457
Mirkovec Breznički;Breznica;Varaždinska županija;87
Mirlović Polje;Ružić;Šibensko-kninska županija;133
Mirlović Zagora;Unešić;Šibensko-kninska županija;347
Mislina;Zažablje;Dubrovačko-neretvanska županija;25
Mitlo;Marina;Splitsko-dalmatinska županija;49
Mitrovac;Kutjevo;Požeško-slavonska županija;92
Mitrovac;Čeminac;Osječko-baranjska županija;16
Mičetinac;Đurđevac;Koprivničko-križevačka županija;146
Mičetići;Poreč – Parenzo;Istarska županija;28
Mičevec;Velika Gorica;Zagrebačka županija;1251
Mičijevac;Križevci;Koprivničko-križevačka županija;54
Mišinci;Žakanje;Karlovačka županija;128
Mišinka;Kutina;Sisačko-moslavačka županija;102
Miškovići;Pag;Zadarska županija;55
Mišljenovac;Donji Lapac;Ličko-senjska županija;0
Mjesto Primišlje;Slunj;Karlovačka županija;39
Mladenići;Viškovo;Primorsko-goranska županija;1448
Mlaka;Jasenovac;Sisačko-moslavačka županija;23
Mlaka;Rakovec;Zagrebačka županija;101
Mlaka Antinska;Tordinci;Vukovarsko-srijemska županija;55
Mlakovac;Krnjak;Karlovačka županija;98
Mlakva;Perušić;Ličko-senjska županija;31
Mlinari;Vrbovsko;Primorsko-goranska županija;7
Mlini;Župa dubrovačka;Dubrovačko-neretvanska županija;933
Mlinište;Zažablje;Dubrovačko-neretvanska županija;254
Mlinski Vinogradi;Velika Trnovitica;Bjelovarsko-bilogorska županija;25
Modrino Selo;Kistanje;Šibensko-kninska županija;23
Modrovec;Gornja Stubica;Krapinsko-zagorska županija;324
Modruš;Josipdol;Karlovačka županija;125
Modrušani;Žminj;Istarska županija;129
Mogorić;Gospić;Ličko-senjska županija;80
Mohovo;Ilok;Vukovarsko-srijemska županija;183
Mokošica;Dubrovnik;Dubrovačko-neretvanska županija;2193
Mokreš;Čaglin;Požeško-slavonska županija;14
Mokrica Tomaševečka;Sveti Ivan Zelina;Zagrebačka županija;20
Mokrice;Oroslavje;Krapinsko-zagorska županija;697
