naselje;grad_opcina;zupanija;stanovnistvo
Bikovec;Maruševec;Varaždinska županija;200
Bila Vlaka;Stankovci;Zadarska županija;156
Bilaj;Gospić;Ličko-senjska županija;143
Bile;Novi Vinodolski;Primorsko-goranska županija;7
Bili Brig;Nova Kapela;Brodsko-posavska županija;217
Bilice;Bilice;Šibensko-kninska županija;2546
Bilice;Pleternica;Požeško-slavonska županija;150
Bilišane;Obrovac;Zadarska županija;136
Bilje;Bilje;Osječko-baranjska županija;3163
Biljevec;Maruševec;Varaždinska županija;219
Biljevina;Delnice;Primorsko-goranska županija;3
Biljevine;Senj;Ličko-senjska županija;42
Bilo;Cetingrad;Karlovačka županija;11
Biograd na Moru;Biograd na Moru;Zadarska županija;5601
Biokovsko Selo;Zagvozd;Splitsko-dalmatinska županija;41
Biorine;Cista Provo;Splitsko-dalmatinska županija;152
Biovičino Selo;Kistanje;Šibensko-kninska županija;133
Biočić;Drniš;Šibensko-kninska županija;78
Birovača;Donji Lapac;Ličko-senjska županija;67
Bisag;Breznica;Varaždinska županija;135
Bisko;Trilj;Splitsko-dalmatinska županija;351
Biskupija;Biskupija;Šibensko-kninska županija;266
Bistrač;Sunja;Sisačko-moslavačka županija;36
Bistrica;Slatina;Virovitičko-podravska županija;118
Bistrinci;Belišće;Osječko-baranjska županija;1301
Bitorajci;Bosiljevo;Karlovačka županija;10
Bizovac;Bizovac;Osječko-baranjska županija;1713
Bićine;Skradin;Šibensko-kninska županija;173
Bičići;Barban;Istarska županija;69
Biševo;Komiža;Splitsko-dalmatinska županija;23
Biškupci;Velika;Požeško-slavonska županija;320
Biškupec Zelinski;Sveti Ivan Zelina;Zagrebačka županija;889
Bišćanovo;Glina;Sisačko-moslavačka županija;0
Bjelajci;Pakrac;Požeško-slavonska županija;0
Bjelanovac;Lipik;Požeško-slavonska županija;4
Bjelina;Benkovac;Zadarska županija;82
Bjeliševac;Kutjevo;Požeško-slavonska županija;80
Bjelkovac;Nova Bukovica;Virovitičko-podravska županija;37
Bjelopolje;Plitvička Jezera;Ličko-senjska županija;71
Bjelovar;Bjelovar;Bjelovarsko-bilogorska županija;24392
Blaca;Solin;Splitsko-dalmatinska županija;3
Blace;Slivno;Dubrovačko-neretvanska županija;273
Blacko;Pleternica;Požeško-slavonska županija;169
Blagaj;Slunj;Karlovačka županija;24
Blagdanići;Poreč – Parenzo;Istarska županija;22
Blagorodovac;Dežanovac;Bjelovarsko-bilogorska županija;155
Blaguša;;Grad Zagreb;524
Blanje;Viljevo;Osječko-baranjska županija;34
Blata;Saborsko;Karlovačka županija;28
Blatna Vas;Buzet;Istarska županija;11
Blatnica;Štefanje;Bjelovarsko-bilogorska županija;89
Blatnica Pokupska;Karlovac;Karlovačka županija;32
Blato;Blato;Dubrovačko-neretvanska županija;3282
Blato;Mljet;Dubrovačko-neretvanska županija;31
Blato na Cetini;Omiš;Splitsko-dalmatinska županija;462
Blatuša;Gvozd;Sisačko-moslavačka županija;138
Blaškovec;Sveti Ivan Zelina;Zagrebačka županija;559
Blaškovići;Kršan;Istarska županija;207
Blaževci;Vrbovsko;Primorsko-goranska županija;34
Blaževdol;Sveti Ivan Zelina;Zagrebačka županija;374
Blažević Dol;Staro Petrovo Selo;Brodsko-posavska županija;101
Blinja;Petrinja;Sisačko-moslavačka županija;58
Blinjska Greda;Sunja;Sisačko-moslavačka županija;18
Blinjski Kut;Sisak;Sisačko-moslavačka županija;194
Blizna Donja;Marina;Splitsko-dalmatinska županija;217
Blizna Gornja;Marina;Splitsko-dalmatinska županija;66
Bobare;Okučani;Brodsko-posavska županija;8
Bobodol;Promina;Šibensko-kninska županija;21
Bobota;Trpinja;Vukovarsko-srijemska županija;1202
Bobovac;Sunja;Sisačko-moslavačka županija;248
Bobovec Rozganski;Dubravica;Zagrebačka županija;341
Bobovec Tomaševečki;Klanjec;Krapinsko-zagorska županija;19
Bobovica;Samobor;Zagrebačka županija;258
Bobovišća;Milna;Splitsko-dalmatinska županija;15
Bobovišća na moru;Milna;Splitsko-dalmatinska županija;49
Bobovje;Krapina;Krapinsko-zagorska županija;457
Bocanjevci;Belišće;Osječko-baranjska županija;342
Bockovac;Viljevo;Osječko-baranjska županija;39
Bodegraj;Okučani;Brodsko-posavska županija;262
Bodovaljci;Vrbje;Brodsko-posavska županija;410
Bogatić;Drniš;Šibensko-kninska županija;71
Bogatić;Promina;Šibensko-kninska županija;22
Bogatnik;Obrovac;Zadarska županija;120
Bogačevo;Sveti Petar Orehovec;Koprivničko-križevačka županija;67
Bogačevo Riječko;Sveti Petar Orehovec;Koprivničko-križevačka županija;53
Bogdanovci;Bogdanovci;Vukovarsko-srijemska županija;614
Bogdanovec;Gornji Mihaljevec;Međimurska županija;115
Bogdanovići;Prgomet;Splitsko-dalmatinska županija;136
Bogdašić;Brestovac;Požeško-slavonska županija;0
Bogomolje;Sućuraj;Splitsko-dalmatinska županija;121
Bogovci;Netretić;Karlovačka županija;1
Bogovići;Malinska-Dubašnica;Primorsko-goranska županija;348
Bogovolja;Cetingrad;Karlovačka županija;77
Bojana;Čazma;Bjelovarsko-bilogorska županija;158
Bojačno;Zagorska Sela;Krapinsko-zagorska županija;6
Bojna;Glina;Sisačko-moslavačka županija;8
Bojnikovec;Križevci;Koprivničko-križevačka županija;194
Bok Palanječki;Martinska Ves;Sisačko-moslavačka županija;124
Bokane;Voćin;Virovitičko-podravska županija;135
Bokići;Višnjan – Visignano;Istarska županija;17
Bokordići;Svetvinčenat;Istarska županija;76
Bokšić;Tompojevci;Vukovarsko-srijemska županija;83
Bokšić;Đurđenovac;Osječko-baranjska županija;340
Bokšić Lug;Đurđenovac;Osječko-baranjska županija;209
Bol;Bol;Splitsko-dalmatinska županija;1656
Bolfan;Ludbreg;Varaždinska županija;362
Boljenovići;Ston;Dubrovačko-neretvanska županija;85
Boljevići;Kršan;Istarska županija;109
Boljun;Lupoglav;Istarska županija;64
Boljunsko Polje;Lupoglav;Istarska županija;143
Bolman;Jagodnjak;Osječko-baranjska županija;368
Bolomače;Brestovac;Požeško-slavonska županija;15
Bolč;Farkaševac;Zagrebačka županija;368
Bonaci – Bonazzi;Poreč – Parenzo;Istarska županija;130
Boraja;Šibenik;Šibensko-kninska županija;221
Borak;Omiš;Splitsko-dalmatinska županija;199
Borenec;Breznica;Varaždinska županija;98
Borik;Mikleuš;Virovitičko-podravska županija;175
Borinići;Barban;Istarska županija;5
Boričevac;Donji Lapac;Ličko-senjska županija;13
Boričevci;Brestovac;Požeško-slavonska županija;91
Boričevec Toplički;Varaždinske Toplice;Varaždinska županija;36
Boriš;Končanica;Bjelovarsko-bilogorska županija;6
Borje;Kalnik;Koprivničko-križevačka županija;102
Borkovec;Zlatar;Krapinsko-zagorska županija;205
Borojevci;Levanjska Varoš;Osječko-baranjska županija;0
Borojevići;Donji Kukuruzari;Sisačko-moslavačka županija;68
Borova;Suhopolje;Virovitičko-podravska županija;570
Borova Kosa;Đulovac;Bjelovarsko-bilogorska županija;53
Borovac;Novska;Sisačko-moslavačka županija;176
Borovci;Kula Norinska;Dubrovačko-neretvanska županija;30
Borovik;Drenje;Osječko-baranjska županija;1
Borovik;Komiža;Splitsko-dalmatinska županija;7
Borovita;Glina;Sisačko-moslavačka županija;5
Borovljani;Novigrad Podravski;Koprivničko-križevačka županija;187
Borovo;Borovo;Vukovarsko-srijemska županija;3555
Borut;Cerovlje;Istarska županija;180
Bosanci;Bosiljevo;Karlovačka županija;42
Bosanka;Dubrovnik;Dubrovačko-neretvanska županija;169
Bosiljevo;Bosiljevo;Karlovačka županija;44
Bosiljevo;Čazma;Bjelovarsko-bilogorska županija;214
Bosna;Bedenica;Zagrebačka županija;89
Botinac;Kapela;Bjelovarsko-bilogorska županija;88
Botinec;;Grad Zagreb;4
Botinovec;Koprivnički Ivanec;Koprivničko-križevačka županija;163
Botovo;Drnje;Koprivničko-križevačka županija;232
Bović;Gvozd;Sisačko-moslavačka županija;59
Bočadir;Konjščina;Krapinsko-zagorska županija;142
Bočaki;Konjščina;Krapinsko-zagorska županija;183
Bočkinci;Marijanci;Osječko-baranjska županija;173
Bočkovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;253
